Автор,Название статьи,Название сборника/журнала,Выпуск / номер,Где издано,Год издания,Страницы,Номер отчета,Название памятника
"Старостин П.Н.","Отчет об археологической разведке в зоне затопления Нижнекамской ГЭС, проведенной летом 1964 года.",,,"Казань","1965","11",,"Кырнышское III"
"Старостин П.Н.","Отчет о результатах обследования археологических памятников в зоне Куйбышевского водохранилища в 1966 году.",,,"Казань","1967","10-11",,"Подыванвское"
"Старостин П.Н.","Отчет о результатах обследования археологических памятников в зоне Куйбышевского водохранилища в 1966 году.",,,"Казань","1967","25-26",,"Макаровское"
"Старостин П.Н.","Отчет о результатах обследования археологических памятников в зоне Куйбышевского водохранилища в 1966 году.",,,"Казань","1967","27-28",,"Байчугинское I"
"Старостин П.Н.","Отчет о результатах обследования археологических памятников в зоне Куйбышевского водохранилища в 1966 году.",,,"Казань","1967","28-30",,"Байчугинское II"
"Старостин П.Н.","Отчет о результатах обследования археологических памятников в зоне Куйбышевского водохранилища в 1966 году.",,,"Казань","1967","30-31",,"Байчугинское"
"Старостин П.Н.","Отчет о результатах обследования археологических памятников в зоне Куйбышевского водохранилища в 1966 году.",,,"Казань","1967","42-43",,"Алексеевское X"
"Старостин П.Н.","Отчет о результатах обследования археологических памятников в зоне Куйбышевского водохранилища в 1966 году.",,,"Казань","1967","48-49",,"Мокрокурналинское поселение II"
"Старостин П.Н.","Отчет о результатах обследования археологических памятников в зоне Куйбышевского водохранилища в 1966 году.",,,"Казань","1967",,,"Мокрокурналиснкое поселение I"
"Казаков Е.П., Ледяйкин В.И., Старостин П.Н., Халиков А.Х.","Отчет о разведочных работах в западных районах Ульяновской области в 1976 году.",,,"Казань","1976","3",,"Малобарышокское I"
"Казаков Е.П., Ледяйкин В.И., Старостин П.Н., Халиков А.Х.","Отчет о разведочных работах в западных районах Ульяновской области в 1976 году.",,,"Казань","1976","4",,"Малобарышокское II"
"Казаков Е.П., Ледяйкин В.И., Старостин П.Н., Халиков А.Х.","Отчет о разведочных работах в западных районах Ульяновской области в 1976 году.",,,"Казань","1976","6",,"Выползовское"
"Казаков Е.П., Ледяйкин В.И., Старостин П.Н., Халиков А.Х.","Отчет о разведочных работах в западных районах Ульяновской области в 1976 году.",,,"Казань","1976","6-7",,"Белый Ключ"
"Казаков Е.П., Ледяйкин В.И., Старостин П.Н., Халиков А.Х.","Отчет о разведочных работах в западных районах Ульяновской области в 1976 году.",,,"Казань","1976","8-9",,"Болтаевское"
"Казаков Е.П., Ледяйкин В.И., Старостин П.Н., Халиков А.Х.","Отчет о разведочных работах в западных районах Ульяновской области в 1976 году.",,,"Казань","1976","78",,"Кадышевское"
"Казаков Е.П., Ледяйкин В.И., Старостин П.Н., Халиков А.Х.","Отчет о разведочных работах в западных районах Ульяновской области в 1976 году.",,,"Казань","1976","11-12",,"Никитинское I"
"Казаков Е.П., Ледяйкин В.И., Старостин П.Н., Халиков А.Х.","Отчет о разведочных работах в западных районах Ульяновской области в 1976 году.",,,"Казань","1976","12",,"Никитинское II"
"Казаков Е.П., Ледяйкин В.И., Старостин П.Н., Халиков А.Х.","Отчет о разведочных работах в западных районах Ульяновской области в 1976 году.",,,"Казань","1976","12-13",,"Лебедкинское"
"Казаков Е.П., Ледяйкин В.И., Старостин П.Н., Халиков А.Х.","Отчет о разведочных работах в западных районах Ульяновской области в 1976 году.",,,"Казань","1976","16",,"Карсунское"
"Старостин П.Н.","Отчет о разведках в низовьях рр. Зая и Уратьмы (левых притоков р. Камы) в 1977 г.",,,"Казань","1978","19-20","Р1 №6911","Малоатынское I с"
"Старостин П.Н.","Отчет о разведках в низовьях рр. Зая и Уратьмы (левых притоков р. Камы) в 1977 г.",,,"Казань","1978","20-21","Р1 №6911","Малоатынское II с"
"Старостин П.Н.","Отчет о разведках в низовьях рр. Зая и Уратьмы (левых притоков р. Камы) в 1977 г.",,,"Казань","1978","24-25","Р1 №6911","Малоерыклинское II"
"Старостин П.Н.","Отчет об археологических разведках в зоне строительства Заинской оросительной системы в 1978 г.",,,"Казань","1979","4","Р1 №7326","Самарцевское"
"Старостин П.Н.","Отчет об археологических разведках в зоне строительства Заинской оросительной системы в 1978 г.",,,"Казань","1979","4-5","Р1 №7326","Имянлебашское I"
"Старостин П.Н.","Отчет об археологических разведках в зоне строительства Заинской оросительной системы в 1978 г.",,,"Казань","1979","7",,"Старопальчиковское II с"
"Старостин П.Н.","Отчет о работах в Куйбышевском и Лаишевском районах Татарской АССР летом 1984 г.",,,"Казань","1985","43-44","Р1 №10450","Маклашеевское I"
"Старостин П.Н.","Отчет о работах в Куйбышевском и Лаишевском районах Татарской АССР летом 1984 г.",,,"Казань","1985","44","Р1 №10450","Маклашеевское II с"
"Степанов П.Д.","Отчет о работе разведочной археологической экспедиции в восточные районы Мордовской АССР летом 1945 года.",,,"Саранск","1946","9-10","Ф1 Р1 №34","Ош-Пандо (Сайнинское) с"
"Степанов П.Д.","Отчет о работе разведочной археологической экспедиции в восточные районы Мордовской АССР летом 1945 года.",,,"Саранск","1946","10-12","Ф1 Р1 №34","Ош-Пандо (Чиндяновское)"
"Степанов П.Д.","Отчет о работе разведочной археологической экспедиции в восточные районы Мордовской АССР летом 1945 года.",,,"Саранск","1946","20-21","Ф1 Р1 №34","Карлейское"
,,,,,,,,"На Чеберчинском поле"
"Степанов П.Д.","Отчет о работе разведочной археологической экспедиции в восточные районы Мордовской АССР летом 1945 года.",,,"Саранск","1946","21-23","Ф1 Р1 №34","Ош-Пандо (Моргинское)"
"Степанов П.Д.","Отчет о работе разведочной археологической экспедиции в восточные районы Мордовской АССР летом 1945 года.",,,"Саранск","1946","24-26","Ф1 Р1 №34","Казна-Пандо (Налитовское)"
"Степанов П.Д.","Отчет о работе разведочной археологической экспедиции в восточные районы Мордовской АССР летом 1945 года.",,,"Саранск","1946","28",,"Блюдо I (Николаевское)"
"Степанов П.Д.","Отчет о работе разведочной археологической экспедиции в восточные районы Мордовской АССР летом 1945 года.",,,"Саранск","1946","28-29","Ф1 Р1 №34","Блюдо II (Николаевское)"
"Степанов П.Д.","Отчет о работе разведочной археологической экспедиции в восточные районы Мордовской АССР летом 1945 года.",,,"Саранск","1946","29","Ф1 Р1 №34","Николаевское"
"Степанов П.Д.","Отчет о работе разведочной археологической экспедиции в восточные районы Мордовской АССР летом 1945 года.",,,"Саранск","1946","29-30","Ф1 Р1 №34","Явлейское I"
"Степанов П.Д.","Отчет о работе разведочной археологической экспедиции в восточные районы Мордовской АССР летом 1945 года.",,,"Саранск","1946","30","Ф1 Р1 №34","Явлейское II"
"Степанов П.Д.","Отчет о работе разведочной археологической экспедиции в восточные районы Мордовской АССР летом 1945 года.",,,"Саранск","1946","30-31","Ф1 Р1 №34","Енгалычевское I"
"Степанов П.Д.","Отчет о работе разведочной археологической экспедиции в восточные районы Мордовской АССР летом 1945 года.",,,"Саранск","1946","31","Ф1 Р1 №34","Енгалычевское с"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","34",,"Русско-Буртасское I"
"Казаков Е.П., Старостин П.Н., Халиков А.Х.","Археологические памятники Татарской АССР",,,"Казань","1987","140",,"Русско-Буртасское I"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","81",,"Русско-Буртасское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","34",,"Русско-Буртасское II"
"Казаков Е.П., Старостин П.Н., Халиков А.Х.","Археологические памятники Татарской АССР",,,"Казань","1987","140",,"Русско-Буртасское II"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","82-83",,"Камскоустьинское I с (Обач)"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Камскоустьинское I с (Обач)"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","241",,"Камскоустьинское I с (Обач)"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","34",,"Камскоустьинское I с (Обач)"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","83",,"Камско-Устьинское (Обач)"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Камско-Устьинское (Обач)"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","34",,"Камско-Устьинское (Обач)"
"Казаков Е.П., Старостин П.Н., Халиков А.Х.","Археологические памятники Татарской АССР",,,"Казань","1987","139",,"Камско-Устьинское (Обач)"
"Казаков Е.П., Старостин П.Н., Халиков А.Х.","Археологические памятники Татарской АССР",,,"Казань","1987","139",,"Камскоустьинское I с (Обач)"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","83",,"Камско-Устьинcкое II с (Обач)"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Камско-Устьинcкое II с (Обач)"
"Степанов П.Д.","Отчет о работе разведочной археологической экспедиции в восточные районы Мордовской АССР летом 1945 года.",,,"Саранск","1946","31-32","Ф1 Р1 №34","Енгалычевское II"
"Степанов П.Д.","Отчет о работе разведочной археологической экспедиции в восточные районы Мордовской АССР летом 1945 года.",,,"Саранск","1946","33-34","Ф1 Р1 №34","Ош-Пандо (Симкинское)"
"Калинин Н.Ф.","Отчет об археологической экспедиции 1948 г. по районам Татарской АССР.",,,"Казань","1949","30","Р1 №202","Серебрячихинское II"
"Калинин Н.Ф.","Отчет об археологической экспедиции 1948 г. по районам Татарской АССР.",,,"Казань","1949","30","Р1 №202","Ташкирменьское III с"
"Калинин Н.Ф.","Отчет об археологической экспедиции 1948 г. по районам Татарской АССР.",,,"Казань","1949","30","Р1 №202","Чирпынское"
"Калинин Н.Ф.","Отчет об археологической экспедиции 1948 г. по районам Татарской АССР.",,,"Казань","1949","30","Р1 №202","Серебрячихинское I"
"Калинин Н.Ф.","Отчет об археологической экспедиции 1948 г. по районам Татарской АССР.",,,"Казань","1949","30","Р1 №202","Именьковское I с"
"Калинин Н.Ф.","Отчет об археологической экспедиции 1948 г. по районам Татарской АССР.",,,"Казань","1949","32","Р1 №202","Рождественское II с"
"Казаков Е.П.","Отчет о разведочных работах IV отряда Татарской археологической экспедиции в 1961 г.",,,"Казань","1962","4-6","Р1 №2394","Березовогривское"
"Казаков Е.П.","Отчет о разведочных работах IV отряда Татарской археологической экспедиции в 1961 г.",,,"Казань","1962","6","Р1 №2394","Коминтерновское"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","17",,"Танкеевское I"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","17",,"Танкеевское II"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","51",,"Лягушкинское I"
"Старостин П.Н.","Работы на Троицко-Урайском I городище в 1973 г.","Древности Волго-Камья.",,"Казань","1977","31-41",,"Троицко-Урайское I с"
"Старостин П.Н., Габяшев Р.С.","Работы на памятниках предбулгарского времени.","АО 1976 г.",,"Москва","1977","179",,"Троицко-Урайское I с"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","36",,"Троицко-Урайское I с"
,"Археологическая карта Татарской АССР. Предкамье.",,,"Москва","1981","132",,"Троицко-Урайское II с"
,"Археологическая карта Татарской АССР. Предкамье.",,,"Москва","1981","132",,"Троицко-Урайское II"
"Калинин Н.Ф., Халиков А.Х.","Именьковское городище.","МИА","№80","Москва","1960","250",,"Троицко-Урайское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","36",,"Троицко-Урайское II"
,"Археологическая карта Татарской АССР. Предкамье.",,,"Москва","1981","132",,"Троицко-Урайское III с"
"Казаков Е.П., Старостин П.Н., Халиков А.Х.","Археологические памятники Татарской АССР",,,"Казань","1987","190-191",,"Троицко-Урайское II"
,"Археологическая карта Татарской АССР. Предкамье.",,,"Москва","1981","135",,"Николаевское I"
,"Археологическая карта Татарской АССР. Предкамье.",,,"Москва","1981","139-140",,"Тарасова Пристань"
"Калинин Н.Ф., Халиков А.Х.","Именьковское городище.","МИА","№80","Москва","1960","250",,"Тарасова Пристань"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","36",,"Тарасова Пристань"
"Казаков Е.П., Старостин П.Н., Халиков А.Х.","Археологические памятники Татарской АССР",,,"Казань","1987","193",,"Тарасова Пристань"
,"Археологическая карта Татарской АССР. Предкамье.",,,"Москва","1981","145",,"Секинесьское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","36",,"Секинесьское I"
"Казаков Е.П., Старостин П.Н., Халиков А.Х.","Археологические памятники Татарской АССР",,,"Казань","1987","173",,"Секинесьское I"
,"Археологическая карта Татарской АССР. Предкамье.",,,"Москва","1981","147",,"Мамадышское"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","20",,"Маклашеевское I"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","20",,"Маклашеевское II с"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","20",,"Маклашеевский IV"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","21",,"Маклашеевское IV"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","36",,"Полянкинское"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","23",,"Полянское II"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","24",,"Балымерское V"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","24",,"Балымерское III"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","24",,"Балымерское II с"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","25",,"Балымерское городище Шолом"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","25",,"Балымерское I с"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","51",,"Лягушкинское II"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","58",,"Байтеряковское I"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","57",,"Байтеряковское III"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","58",,"Байтеряковское IV"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","58",,"Кубасское"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","58",,"Кубасское м"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","59",,"Березовское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Березовское"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","59",,"Галактиововское I"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","61-62",,"Новочистопольское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Новочистопольское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Новочистопольское IV"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Новочистопольское V"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Новочиcтопольcкое II"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","62",,"Новочистопольское IV"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","62",,"Новочиcтопольcкое II"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","62",,"Новочистопольское V"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","65",,"Бурнашевское II"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","65",,"Русскосарсазское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Русскосарсазское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Русскосарсазское I"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","66",,"Русскосарсазское I"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","66",,"Суворовское"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","66",,"Суворовское II"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","241",,"Камско-Устьинcкое II с (Обач)"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","34",,"Камско-Устьинcкое II с (Обач)"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","83-84",,"Баргузинское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","35",,"Баргузинское"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Баргузинское"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","84",,"Красно-Каратаевское"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Красно-Каратаевское"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","241",,"Красно-Каратаевское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","33-34",,"Красно-Каратаевское"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","84",,"Янтиковское (Кирельское)"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","241",,"Янтиковское (Кирельское)"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Кирельское II с"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","241",,"Кирельское II с"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","70",,"Среднетолкишкинское I"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","71",,"Свердловское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Свердловское I"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","72",,"Азеевское III"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","73",,"Чертушкинское II"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","73",,"Чаллыбашское I"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","75",,"Архангельское II c"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","75",,"Архангельское I с"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","75",,"Сосновкинское I"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","76",,"Сосновкинское II"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","75",,"Сосновкинское III"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","34",,"Япанчинское (Луковское) с"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","80-81",,"Андреевское I а"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","81",,"Андреевское II"
,"Археологические памятники Центрального Закамья.",,,"Казань","1988","82",,"Сарабикуловское"
"Серых Д.В.","Отчет о разведках в Ставропольском районе Самарской области в 2007 г. по Открытому листу № 1390 (форма № 3).",,,"Самара","2008","22-24",,"Малая Рязань VIII"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","104",,"Байчугинское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","36",,"Мамадышское"
,"Археологические памятники Восточного Закамья.",,,"Казань","1989","14",,"Сарабикуловское м"
,"Археологические памятники Восточного Закамья.",,,"Казань","1989","15",,"Сосновкинское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Сосновкинское I"
,"Археологические памятники Восточного Закамья.",,,"Казань","1989","15",,"Сосновкинское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Сосновкинское II"
,"Археологические памятники Восточного Закамья.",,,"Казань","1989","15",,"Сосновкинское III"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Сосновкинское III"
,"Археологические памятники Восточного Закамья.",,,"Казань","1989","15",,"Архангельское V м"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","42",,"Архангельское V м"
,"Археологические памятники Восточного Закамья.",,,"Казань","1989","15",,"Архангельское I с"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","42",,"Архангельское I с"
,"Археологические памятники Восточного Закамья.",,,"Казань","1989","16",,"Архангельское III м"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","42",,"Архангельское III м"
,"Археологические памятники Восточного Закамья.",,,"Казань","1989","15",,"Архангельское II c"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","42",,"Архангельское II c"
,"Археологические памятники Восточного Закамья.",,,"Казань","1989","16",,"Ленинское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Ленинское I"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","22",,"МЮД II"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","22",,"МЮД I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"МЮД I"
"Шпилевский С.М.","Древние города и другие булгаро-татарские памятники Казанской губернии.",,,"Казань","1877","366",,"Татсунчелеевское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Татсунчелеевское"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","22-23",,"Татсунчелеевское"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","23",,"Татсунчелеевское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Татсунчелеевское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Татсунчелеевское II"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","23",,"Татсунчелеевское II"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","23",,"Татсунчелеевское V"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","27",,"Новокиреметское  I"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","27",,"Новокиреметское II"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","28",,"Мамыковское городище «Шихан»"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","31",,"Марасинское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","40",,"Кичкальнинское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","40",,"Чувбродcкое III"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","28-29",,"Чувбродcкое III"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","105",,"Бахиловское"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","105",,"Богородицкий"
"Старостин П.Н.","Богородицкий могильник","СА","№ 3","Москва","1983","193-203",,"Богородицкий"
"Старостин П.Н.","Именьковские могильники.","Культуры Восточной Европы I тысячелетия н.э.",,"Куйбышев","1986","93",,"Богородицкий"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","37",,"Грязнуха IV"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","34",,"Нижнебарышевское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","42",,"Подлесношенталинское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","39",,"Суворовское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","36",,"Черепашье"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954",,,"Гремячеключинское"
"	Дубман Э.Л., Мышкин В.Н.","Отчёт о разведках на территории Государственного природного национального парка ""Самарская Лука"" (Ставропольский и Волжский районы Куйбышевской области) в 1987 г.","Архив Археологической лаборатории СамГУ",,"Куйбышев","1988","28",,"Винновский овраг"
"	Дубман Э.Л., Мышкин В.Н.","Отчёт о разведках на территории Государственного природного национального парка ""Самарская Лука"" (Ставропольский и Волжский районы Куйбышевской области) в 1987 г.","Архив Археологической лаборатории СамГУ",,"Куйбышев","1988",,,"Междуреченское"
"	Дубман Э.Л., Мышкин В.Н.","Отчёт о разведках на территории Государственного природного национального парка ""Самарская Лука"" (Ставропольский и Волжский районы Куйбышевской области) в 1987 г.","Архив Археологической лаборатории СамГУ",,"Куйбышев","1988","39",,"Большая Рязань I м"
"	Дубман Э.Л., Мышкин В.Н.","Отчёт о разведках на территории Государственного природного национального парка ""Самарская Лука"" (Ставропольский и Волжский районы Куйбышевской области) в 1987 г.","Архив Археологической лаборатории СамГУ",,"Куйбышев","1988","39",,"Услада"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","105",,"Бабий Бугор"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","105",,"Коптелов бугор"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","106",,"Муромское I"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","106",,"Каменная Коза"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","106",,"Выползово I"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","106",,"Жигули II"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","107",,"Сосенки"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","107",,"Именьковский III"
"Старостин П.Н.","Именьковские могильники.","Культуры Восточной Европы I тысячелетия н.э.",,"Куйбышев","1986","94",,"Именьковское II"
"Старостин П.Н.","Именьковские могильники.","Культуры Восточной Европы I тысячелетия н.э.",,"Куйбышев","1986","93",,"Именьковский III"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","121",,"Троицко-Урайское I с"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","121",,"Троицко-Урайское"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","121",,"Усинское III"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","122",,"Черки-Бибкеевское I"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","122",,"Ош-Пандо-Нерь"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","122",,"Ош-Пандо-Нерь I/II"
